Comment,Sentiment
Kangan baja hai kahi 😅😅😅😅😅,Neutral
Bravo 👏👏👏,Positive
❤️👋🏼👋🏼👋🏼👋🏼👋🏼👋🏼,Positive
This is not the way to response....she shouldn't have raised her hand on anyone,Negative
PUNJABI THAPPAD HILAA DENDA😅😅,Negative
Good sister 🎉🎉,Positive
"She misused the power of uniform. Civil dress me chaata marne ki kaha dam tha usme.

 The protector herself became the destroyer.",Negative
देश आजाद हुआ 😂😂😂😂😂,Negative
CISF officer jarror mule ke biwi hogi,Negative
"Salute to our Indian Sherni. 
   Ye to shuruwat hai. BJP goons, be ready, you will be slapped by all of us Indians.",Positive
I solute the solidarity of this woman...She is not thinking about world but saying...my mom was there...I solute you Indian soldiers,Positive
"You lose respect, stance and support on your side of things the moment you resort to violence, curse words and lies. The assaulted should be in jail for assault. What disgusting behavior. Her low level mindset is why India can’t progress forward.",Negative
Fame Lena cha Rahi thi ye guard,Neutral
"Not ok. If I don't like my neighbours views, doesn't mean I will go and slap him.",Negative
Pagal soldier,Positive
कंगना बजी है कही दूर खन खन खन खन,Negative
Backstabber 🐍🐍🐍,Negative
"Karma is a bitch , Kangana.",Negative
"Duty pe ye harkat ki isne ..
Complete nonsense.
Nikalo ise bahar",Negative
Yeh thappad gunje gi😂😂,Positive
Great work,Positive
ਬੈਨ ਕੁਲਵਿੰਦਰ ਕੌਰ ਲੋਇਨ❤,Neutral
Maa ko anshan me बैठाकर yha नौकरी kr rhi hai sham on her😂❤,Negative
CISF madam JI 💐🙏,Positive
Movie or real me bhut fhark hota hai 😅😅😅,Positive
Manoj Tiwari ka Gaana Yaad aa gaya😂,Positive
99 miss cal from congress 😅,Neutral
Abb apni maa ko saath le ker bangalaore shoft ho ja😂😂😂😂kuunki teri badli ker daali kangana ne😂😂😂fat gyi teri abb to,Negative
Great ❤🎉,Positive
"CISF k Sherni, at least she has a spine to take a stand against what is wrong n to tell that farmers can't be politicised for political gain. Respect Farmers or give up food",Negative
"आसन शिकार..
पर वो कंगना है, वो कभी न कभी बड़ा हिसाब करेगी।",Neutral
"Bechari CISF wali ko bhi publicity chahiye, mil gayi publicity",Neutral
"Is ladki ke ghar walo ne bhi ise itna sunaya when she came back to the village, yaha pe hi sherni ban rahi h,
Humari neighbour h iski family!",Positive
😅😅,Neutral
Ab kangnane fir naya naya statement de diya hai  pata nahi kya hoga😅,Neutral
Wah didi didi wah kya baat apni maa ke bare koi sun nh sakta aisa sahi kiya,Positive
Isaki kyaa vlaue hain samaj mein?? Bakchodi kar rahi thi.. Ab yeh sansad mein karegi...,Negative
HAHA NICE 😂,Positive
Salute to this veer lady only sikh girl has this much guts,Positive
Iah moti kohi kehdi chalanga mari jandi video vich kini gandi lagdi ik toh moti uto githhi,Negative
👍👍👍👍👍👍👍👍👍👍👍💪,Positive
Ab tu bhi ghr Beth ...,Positive
"Dil ko shukun button
👇👍",Positive
Just imagine how is moment for audience of there 😂😂😂😂😂,Neutral
ਵੈਰੀ ਗੁਡ,Negative
Abb pata ni lgrya himachl m jane se phle 100 bar soch ryeee ki java kya nahi,Negative
Ab koi kangana sach ke sath kadte hai nai bolga bcz oske piche ek girl' ke sath marr hai oska admi,Negative
I am saluting from bottom of my heart to that Woman CISF JAWAN..🫡🫡🙏,Positive
Rajjo respect button,Neutral
❤❤❤❤❤❤❤❤,Positive
Karma,Negative
Jai hind didi,Positive
Call Girl Kangna Ranaut ❤❤❤❤❤❤ Very good Sister Kulwinder Kaur ji,Positive
हाथापाई यदि सरकार करे तो तानाशाही और खुद करे तो सद्दा हक,Neutral
Proud of you Kulvinder kaur salute,Positive
Iss tapad ke baad kangana ko yaad aa gya hoga ki azadi 2014 ke baad nhi mili😂😂😂😂😂,Negative
"ਆ ਬੀਬੀ ਹੈ ਮਾਈ ਭਾਗੋ ਦੀ ਵਾਰਿਸ 
ਸ਼ੇਰਨੀ 
ਗੁਰੂ ਮਹਾਰਾਜ ਚੜ੍ਹਦੀਕਲਾ ਚ ਰੱਖਣ",Neutral
❤❤❤,Positive
Punjab di sherni 👍 GOOD JOB 👍,Positive
58:59 kisine notice kiya usne kaha ye dekho chudail uske thik baad 1 aur word kaha usne disrespect ki bhi had hoti hai,Negative
Kya hi fayeda pehale aapki maa baite thi or ab aap baite ho. Thoda dimaag se kaam lena chaheye na,Negative
"It is not to be justified.  It might be a game of political one. It is to be found out that her mother is actually participated or not as per her statement and also to be find out that whether she was adviced by any politically.   Anyway,  her action  what  she did was not correct.   She can do anything in future and she is not fit for such duty/sevice if she has personal emotions. In my view, she did this for her personal popularity or political gain.   She is 100% liable for the punishment as per act and rule for this offence
  Jai Hind.",Negative
"Good. Job. Bahut. Vadiya. Ji. Bahut. Badhiya. Ye. To. Hona. Hi. Ek. Me. Or. Ek. To. Dono. Mile. Es. Tareh
Or. Yha. Tan. Man. Ek. Ho. Chala. He. Ye. Hona. Hi. Tha🎉. Es. Thapadd. Ki. Gunj. Puri. Jindgi. Bhar. Sunai. Degi. Mahilayo. Ke. Apman. Karke. Liye. Ye. To. Aaj. Nhi. To. Kl. Hona. Hi. Tha",Positive
😂❤,Positive
"Well done panjab di sher daughter, proud of you ❤🙏🏽🙏🏽",Positive
Kulwinder kaur ko job sa suspended karna chaya and life time ka leya jail honi chaya,Negative
CISF personnel at the airports are arrogantazzholes.,Negative
Salute to ਸ਼ੇਰਨੀ ਧੀ,Positive
Malkita ki maa hai je,Negative
Kagna bhabi g koi bat ni jhagra nahi karne ka jo ho giya so hogiya,Negative
Very good kulwinder kaur beta❤,Positive
"ਭੈਣ ਕੁਲਵਿੰਦਰ ਤੇਰੇ ਤੇ ਭਾਈ ਸਾਹਿਬ ਭਾਈ ਜਥੇਦਾਰ ਹਵਾਰਾ ਵਲੋ ਵੱਜੇ ਥੱਪੜ ਦੀਆਂ ਗੂੰਜਾਂ ਸਦਾ ਲਈ ਪੈਂਦੀਆਂ ਰਹਿਣਗੀਆਂ,",Positive
What a reply from a farmer's family member! This is how false or wrong statement by politicians to be dealt with. Lady CISF women - salute to you🫡,Negative
Why can’t I see the slap?,Negative
😂😂😂,Neutral
😂😂😂😂,Neutral
"ਇਹਨੂੰ ਚਵਲ ਜਿਹੀ ਨੂੰ ਡਿਬਰੂਗੜ ਜੇਲ੍ਹ ਵਿੱਚ ਸੁੱਟੋ,,, ਸਰਕਾਰ ਨੇ ਸਕਿਉਰਿਟੀ ਫੋਰਸਾਂ ਲੋਕਾਂ ਦੀ ਰੱਖਿਆ ਲਈ ਲਾਈਆਂ ਨੇ ਕਿ ਲੋਕਾਂ ਦੇ ਥੱਪੜ ਮਾਰਨ ਵਾਸਤੇ ਲਾਈਆਂ ਨੇ,,, ਪੂਰੀ ਪੰਜਾਬੀਅਤ ਦਾ ਸਿਰ ਸ਼ਰਮ ਨਾਲ ਨੀਵਾਂ ਕਰ ਦਿੱਤਾ,,, ਪੰਜਾਬ ਵਿੱਚ ਇੱਕ ਦੋ ਮਹੀਨਿਆਂ ਵਿੱਚ ਹੇਠ ਉੱਤੇ ਹੋਈਆਂ ਅਨੇਕਾਂ ਘਟਨਾਵਾਂ ਦੇ ਮੱਦੇਨਜ਼ਰ ਹਾਲਾਤ ਇਹ ਬਣ ਚੁੱਕੇ ਹਨ ਕਿ ਪੰਜਾਬ ਤੋਂ ਬਾਹਰ ਬੈਠੇ ਪੰਜਾਬੀਆਂ ਦੀ ਜਾਨ ਮੁੱਠੀ ਵਿੱਚ ਆਈ ਹੋਈ ਹੈ,, ਕਿਉਂਕਿ ਦੂਜੀ ਕਮਿਊਨਿਟੀ ਵਾਲੇ ਹਰੇਕ ਪੰਜਾਬੀ ਨੂੰ ਸ਼ੱਕੀ ਨਿਗ੍ਹਾ ਨਾਲ ਦੇਖਦੇ ਨੇ,, ਜਦੋਂ ਕੋਈ ਪੰਜਾਬੀ ਕਿਸੇ ਦੂਜੀ ਕਮਿਊਨਿਟੀ ਵਾਲੇ ਨੂੰ ਮਿਲਦਾ ਹੈ ਤਾਂ ਉਹ ਇਹੀ ਕਹਿੰਦੇ ਨੇ ਕਿ,, ਆਪਕੇ ਲੋਗੋਂ ਨੇ ਪੰਜਾਬ ਮੇਂ ਬਹੁਤ ਬਵਾਲ ਮਚਾਇਆ ਹੂਆ ਹੈ,, ਅੱਜ ਲੋੜ ਹੈ ਕਿ ਕਿਤੇ ਵੀ ਕੋਈ ਵੀ ਪੰਜਾਬੀ ਕੋਈ ਵੀ ਗਲਤ ਕੰਮ ਕਰਦਾ ਹੈ ਤਾਂ ਓਹਦਾ ਡੱਟ ਕੇ ਵਿਰੋਧ ਕਰੀਏ ਤਾਂ ਕਿ ਦੂਜੇ ਲੋਕ ਇਹ ਨਾ ਕਹਿ ਸਕਣ ਕਿ ਆਪ ਲੋਗ ਤੋ ਖੁਦ ਇਨ ਬਾਤੋਂ ਕੋ ਬੜਾਵਾ ਦੇ ਰਹੇ ਹੋ",Neutral
Career start,Neutral
Thappar Marka Adab Punjaban Hoos Bhula Dindi Kulwinder Bahan Tusi Bahut Badiya Kamm Keeta Very Good,Positive
Bhau asa kis beta ji,Negative
Vary nice beta ji good army thanks,Positive
Kangna nu kise nal gal bat  krn di akl nahi jo sadi punjab di sherni ne👋mar k diti ....kulwinder kaur jinda bad 👍👍,Positive
Thppd pinda ni dikyea,Negative
Very nice and nice 👍👍👍,Positive
ਵੈਰੀ ਗੁੱਡ 💯💪💪,Positive
ਅਨਖ ਕਿਸਾਨ ਦੀ ਚੰਡੀਗੜ੍ਹ ਜਾ ਗੁਜੀ ਸਾਬਾਸ ਸੂਰੀਮੇ,Neutral
"She is darling cisf jiwan, what is right or wrong not question",Neutral
", 
😂😂😂😂😂😂😂😂",Neutral
Maja aa gea,Neutral
❤️❤️👍👍👍🙏🏿🙏🏿🙏🏿,Positive
Le andbhakt = meri mummy ko ko kyu mara 🤣🤣🤣🤣🤣🤣🤣,Negative
Very good 👍,Positive
Respect for this woman.,Positive
ISKI MAA NE BHI MODI KO GAALI DI THI.. TO KYA ISKI MAA KO KOI MODI SUPPORTER JAKR MAAR SAKTA HAI.. NAHI,Negative
Kaash slap ki video mil Jaye,Negative
"violence is not allowed you are agree or not 
if you have a problem you can go SC or HC",Negative
Well done CISF..👍❤,Positive
सीआईएसफ का कोई हल्के में ना ले भले ही हमारी प्रॉपर्टी की रक्षा करती है परंतु हर मामले में आगे है,Positive
सीआईएसफ में एक कांस्टेबल रैंक की लड़की ने थप्पड़ मारा है यदि कोई थ्री स्टार का होता कुछ समझ नहीं आता 3 स्टार नहीं सही एक तारा 2 स्टार की भी होती है हेड कांस्टेबल होता तू भी चल जाता लेकिन भाई ने कंगना रावत को मार दिया क्या इज्जत रह गई,Negative
It's really work now Jahan mohan Reddy bye bye in 2024😢😢,Negative
Very good sisters ji,Positive
Balle ni Panjab di e sher bachie,Negative
Nice ❤️,Positive
Lady officer ❤❤❤❤,Positive
ਬੱਲੇ ਨੀ ਪੰਜਾਬ ਦੀਏ ਸ਼ੇਰ ਬੱਚੀਏ ਅੱਤ ਕਰਵਾ ਦੀ ਦੀ ਤਾਂ,Negative
"As citizens the people are sovereign. Some of the politicians I repeat some of the politicians consider themselves as angles and that God had blessed them to rule over humanity. At the same time I am not justifying violence against another human being.  But the conduct of some these angles from the media industry is at times nauseating. I am 60 plus . During my school days the people of this media industry,  great cricket players like Mr Sunil Gavasker use to walk in our midst safely. They loved to share their presence in our midst. Some of us at the maximum take autograph as a pleasant reminder in their presence. And this recognition of being in our midst was most welcome by them. But it is not the same these days. The educated in our midst don't regard a damn about them an actor next to us and a donkey next to us is all the same. It matters as to how they socialize and conduct in our midst. It is this simple formula that the actors of early 90's carried with them.",Negative
😂😂😂😂😂,Neutral
Jai jawan jai kisaan❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤cisf❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
Ye hota h maa ka dard,Negative
அருமை பஞ்சாப் சிங்கம் வாழ்த்துக்கள் 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,Positive
Is she not in jail,Negative
Khalistani CISF😂😂😂,Neutral
Sherni bahan ko salaam    maa ki baat h na,Negative
Chataak 😂,Neutral
Kulwinder kaur daramaikhor,Negative
Kulwinder kaur jindabad,Positive
kisko kisko maza aaya 😂😂😂,Positive
Deshdrohi afsari,Positive
Salut sistar,Positive
Bahut shandar,Positive
salute h bahan aapko,Positive
Bjp me jate hi sub andhkaar aur ahankaar me sama jate Hain,Negative
Lekin video pe toh dikha red topi aur dariwala admi Kangana ji ke pith per jor se thappad mara. Lady cisf constable ko slapped karte nehi dikha.,Negative
Are vardi ki to izzat rakh le chachi 😅,Negative
"Kangna sherni h
Jbaab zroor milega",Positive
"Brave lady..... Jay jawan, Jay kisan..... This slap should be declared as International Slap of 2024.....",Positive
Bhavishya ki netaji ko laal salam 😆,Positive
Nice work,Positive
"Modiji, Transfer her to kargil.. she's a brave woman.",Positive
💯 percent correct keya foji larki my,Positive
"Strong brave girl cisf
Revenge her mother
Salute to cisf girl",Positive
Teri maa v to paisa le kar baithi thi,Negative
Werest lady security,Negative
👍👍👍,Positive
BAD CISF WOMEN,Negative
ये एक स्टेटमेंट कुछ भी गलत बोलने से पहले 1000 बार सोचों,Neutral
Salute to indian army,Positive
VERY good work,Positive
Yeh cisf wali dismissed from service ho gaya,Negative
Now u sit with your mom,Neutral
Actually her mom was not there,Neutral
Good.job.sistar,Positive
When kothe wali join CISF,Neutral
Bhahrti yha kya kr rhi hai😂🤣,Negative
Badhiya kiye thappad maar kr 100 ka thappad krara hoga 😂😂😂😂😂😂😂😂😂😂😂😂😂,Negative
some female guards can be cruel though as I have some personal experience with them. they all tend to carry some sort of cold demeanor around them and can come off as very rude and nasty. if you haven't experienced with one yet then don't judge!! I personally don't really blame kangana here. don't hate me for this,Negative
Ye kuch bhi bolti he. Samne wala bhi ese hi dimag ka mil jaye to ye hona hi tha kabhi na kabhi. Sirf ek yahi to aggressive nahi he. Bakiyon ka bhi dimag fir sakta he,Negative
Super sister 💕🤩,Positive
bastard officer,Negative
Isko Saja Milani chahie Jo duty ke upar hath uthaya hai aise to sab ke upar hi tu hath uthaegi Kunal naam ki koi chij hai kya,Negative
Sarkar ka khati hai aur Sarkar ke upar hi hath uthati hai isko naukari se kharch kiya jaaye,Negative
Kangana ji best'mp ❤️❤️❤️,Positive
Congress party 😂😂😂krte,Negative
Good Punjab di Sherniye,Positive
Is bahan ko virangana puraskaar milna chahiye❤❤,Positive
Damn what a smack down lol.. no acting required.,Negative
Well done 👍✅,Positive
Chap gya panja 😂🖐️🖐️🖐️🖐️,Positive
Matlab agar teri maa ne kabhi koi galat baat boli ho to mai bhi usko kangaroo court bankar thappad maar sakta hu na? 🤔,Negative
❤❤❤❤ bravo 👏👏 CISF,Positive
Saale ko job se nikaalana chaaheye,Negative
💪💪💪💪💪💪💪💪💪💪💪💪,Positive
My salut that lady gurd,Positive
Super panch 😂,Positive
Salute,Positive
Thappad ki goooonjjj,Positive
"Instead of asking  if they are carryingg any contraband or any item  not permissable  on flight..
 These  women will start asking passengers their view point...
And passengers  willl get slapped around, emerge with read cheeks in they happen  To have any vuew point that dire Rs from these women in unifirm.
  If she is Not taken to task ...",Negative
Kagna de nall Moti de v wajna chida c,Positive
Good Kulwinder kaur,Positive
Good jop kulwider kaur 🎉,Positive
Sreef Tappad Kaya hai ek aurat aur yaha  hamara manipur mein roz  aadmi marr rahe hai,Negative
Sreef Tappad Kaya hai ek aurat aur yaha  hamara manipur mein roz  aadmi marr rahe hai,Negative
Je 100-100 Rs deti Kaya.,Neutral
Maan ki MAMTA K HAQUE BETI NE ADA KAR DIYA..JIYO BETI JIYO..,Positive
Inn cisf didi ka naukri gaya tel lene😂aavi politics join koregi....a big investment,Positive
😢😢😢😢💔💔,Negative
People criticizing the violence and forgetting what Kangna ji spews from her filthy mouth 🤣,Negative
Nice,Positive
Great CISF staff! I salute her for the respect she shown to her mother!!,Positive
The guard is for protecting people not for violence,Negative
CISF women respect button,Neutral
Jio Sherni,Neutral
Well done girl,Positive
Is there is barthi singh there?....bharthi singh ko kisne white kapdo me deha hai 😅😅😅,Negative
jay hind,Positive
Where I didn't found slapping moment,Negative
Good,Positive
She is a real heroine.hat's off,Positive
Aisa lagta hai itna izzat amitab ki bad sayad kisi ko milti hai,Positive
We missed the slapping moment 🧐,Negative
Good ਚੇਪੜ😂😂,Positive
शेरनी ❤❤,Positive
Masha-Allah very nice Slap mam,Positive
"अग्नीवीर के खिलाफ कंगना रनौत ने बोला की 4 साल में अग्निवीरो का फिजिकल फिटनेस अच्छा हो जाता है 

इससे अच्छा क्या लाभ लेंगे अनिवीर 👈👈👈👈

ये बोल कंगना रनौत जी के है 

साइड दूसरा गाल पे भी लेना चाहती है ये ठप्पड",Positive
Jai hind mam ji bhaut Acha kyea app ne,Positive
Ek notice kiya video ke end me ek red colour ki gol topi wale insaan ne bhi haath uthya black dress ledis pr,Negative
Brave girl....,Positive
❤,Positive
"If you dig deep into the situation, you will find that the CISF constable was right❤
Kudos to her❤️❤️",Positive
Isko jail honi chahiye,Negative
😂😂😂😂,Neutral
❤❤❤❤,Positive
Good gigi,Positive
Neta bhi black kapde wali thapad mara dhyan dekho,Negative
"She need to watch her mouth, not everything she said is right",Negative
Very good mum❤❤❤,Positive
Very good mum❤❤❤,Positive
Where’s the visual?,Neutral
Jo b kiye CISF  wali adhikari sahi kari q ki uskay dilko pata hoga kya beeti hogi usper wo sab ek thappad say nikaldi.,Negative
Brave 💪 CISF LADY 🫡,Positive
Uniform ka discipline  tod diya 😢,Negative
Shi kiya bhen🙏🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🙏,Positive
Tu ho ab ghrko,Negative
Kanaga ranaut & that army lady both were super figures!!!,Positive
Galt bt hai,Negative
yes,Neutral
I Salute CISF Lady,Positive
इतनी औकात नही थी इस cisf ofdicer ki jitni isne dikha di,Negative
Jay Hind Punjab ki sherni hai Salam hai Mera bahan❤❤❤,Positive
kash us tapd ka pura vedio dekne melta tu bhut bhut kushi melti ☺👍👏👏,Positive
We all indian proud of you sister 🫡,Positive
Well done,Positive
Bhut acha👌🏽👌🏽👌🏽👌🏽,Positive
Sali ne aapni gharalo mamla Indian force me involve kr k aapne Desh k force ka nam kharap ki h.....,Negative
Shameful police of India showing personal vendetta against Kangna. She must be legally prosecuted,Negative
"Uniform di respect kiti Agli ne nhi te ehnu edde nal de security waliya ne lamba pa dena c,,,,na Kangana apni Zplus security ch c,nahi te eh pagal janani hun tak mari honi c on the spot,,,,,Khalistani sari Umar paisa nhi dengey,,,,apni zindgi Khalistaniya de ditte paise nal jee lugi,,,,per in future ki karugi,",Negative
Khud ko bohot VIP samajh rahi thi ab bhigi billi ki tarah bhag gayi kangna didi😂,Negative
We'll done by CISF,Neutral
Iron girl from punjab bravo,Positive
Well done,Positive
कोई कह रहा है थप्पड़ की स्पीड 400 पार थी,Neutral
Aap ko Salaam Mera 🌹 Jai India Jai Congress,Positive
Khalistani,Neutral
Andhbhakton ka jalne ka boo aa raha hai 😅,Negative
🙏🏻😊❤️JI🙏🏻😊❤️JI❤JI❤,Positive
Very wrong on part of cisf jawan,Negative
Punjabi kuddi,Negative
"Kangana is a reel heroine, while that CISF lady is a real hero. Its a shame that a lady like Kangana is being supported , just because she is in BJP now.",Negative
Indira gandhi ka assassination bhi aise hi khalisthani ne kiya tha 😂😂😂,Negative
Is crpf ko dikhao ki sansad aur sarkari noukar me kya fark hai jail me dalo isko 😂😂,Negative
Shameless creature in uniform,Negative
❤,Positive
Bohut achche didi,Negative
Khalistani,Neutral
Sherni didi,Negative
Kangana narot ganjaganja 😂😂😂😂😂😂😂😂😂😂😂😂😂,Neutral
Good Going ❤,Positive
Shi kiya,Negative
WELL DONE...,Positive
Ek hi chaante me Kamal bana diya,Negative
Thik kya,Negative
😮😮😮😮😮,Neutral
"Ye to sala hona hi tha, jahil hai Tangna😂",Negative
Teri achi salary hai.. maa ko q betha rhi thi vha,Positive
😂😂😂😂😂ik dam mast trapper ik te hor sotdi,Negative
Think that what Ghandhiji told us.,Neutral
This slap will give her a lifetime chapter to not give her banal statements in life 😂😂,Positive
"Cisf women shows herself as a coward,very sadly she uses her uniform for her personal revenge.",Negative
😂😂😂😂😂😂 𝙜𝙤𝙤𝙙 𝙢𝙚𝙢,Positive
"Kuch din phle BJP ke gunde jab Kanahaiya ko Thappad marne ki kosish kar raha tha tab tum log kaha the ??? Jabki kanhaiya ka koi controversial speech nahi tha 💯 
Or kanga bolta hai - kissan Terrorist hai🥹 , Sikh Atankvad hai , azadi 2014 mai mili thi , azadi bharat ko 99 saal ke liye mila hai , Modi Ishwar ka Doot hai , Mahilaye 150 rupaya ke liye congress & aap ke protest mai ate hai 
Tu thappad khane ka hi layak hai 💯🤬",Negative
Neta logo ko har jagah aise swagat hoga tabhi hamare desh ki samaya khatam hogi ...,Positive
kangna By cott aajadi 1947 with bhik mai mille 2014 mai mille...... I love my INDIA,Positive
"This is the failure of security system of India, how people like this selected as cisf police, can understand the educational level of India, this cisf lady has gone beyond the power of legal system and such people Detroit the constitution and administration, this is the act of terrorist, and like her everyone think then no need to go to court and police , just because some people insult someone families members than take out the gun shoot, this is unjustified act and must be put in the jail and never let her join back in the service and black list her everywhere so that she can't avail to work and put the level of terrorist on her head and first put in the jail and give her nice lessons through educated lady staffs . So that in future she will think to do again such activities.",Negative
Punjabi sherni jindabad..❤..,Positive
Jay Bhim JAY Samvidhan,Positive
"Strong CISF office....
Army women be like...teri bayan bazi yaha nhi 
 chalegi 😂😂😂😂😅😂😂🥰🤣🤣",Positive
Enga arainjadhaiye kaanom,Negative
This lesson all politian,Neutral
Udthaa punjab,Negative
Good one😂,Positive
❤❤❤,Positive
Kangna ko sabak mil gaya kisano ke khilaf jo boli thi achha kiya cisf,Negative
Super😂😂,Positive
Kangana Modi Kaa Khaash Mehmaan Hai Usse Panga Leliyaa Didi Aapne 😂😂,Negative
Punjab di sherni ❤❤🎉🎉,Positive
Well done bravo 😅❤,Positive
Kangana wear respectable dress in public unlikeother actress,Positive
The police cannot take law in hand she is not bigger than court. Such things bad misuse of power,Negative
"Whatever may be the reason, Personnel from security forces should not do this. Strict punishment must be given. This is a serious issue.",Negative
Usko job se nikal dena chaie permanent....taki unko pata chale ki job ke time me kaise decipline me rahena padta hai,Negative
Congres,Neutral
ℂ𝕚𝕤𝕗 𝕛𝕒𝕨𝕒𝕟 𝕛𝕒𝕚 𝕙𝕚𝕟𝕕,Positive
Madam police madam ne bahut aacha Kam Kiya kangana se desha pareshan pura film duniya pareshan he isako sabhak shikavo tabhi thikane aayegi kangana ranavat,Negative
Bahut aacha Kiya kangana ranavat pachar pachar jayada bolati he usako film banana cahiye political ke janjat se dur rahana thha aab khavo lat jute janata he janta he ishab kitab karati he,Negative
Awaaj nahi aayi,Negative
